deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,won,created_year,created_month,created_quarter,closed_quarter,period,deal_size_band,cycle_band,rep_win_rate,rep_quartile,risk_score,risk_score_pct,risk_tier,risk_factors,recommended_action
D04345,2024-01-06,2024-02-28,rep_19,SaaS,India,Core,Outbound,Demo,72882,53,Won,1,2024,1,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Slow (45-80d),0.47959183673469385,Q1 (Top),0.7351034083810094,73.5,Critical Risk,"Large deal: $72,882 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D01011,2024-02-05,2024-05-30,rep_18,SaaS,India,Enterprise,Inbound,Demo,3865,115,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.40860215053763443,Q4 (Bottom),0.7251775422500397,72.5,Critical Risk,Long cycle: 115d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D04717,2024-01-22,2024-04-30,rep_1,EdTech,North America,Pro,Referral,Negotiation,3263,99,Won,1,2024,1,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4549763033175355,Q2,0.7170354114757577,71.7,Critical Risk,Long cycle: 99d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D03502,2024-02-08,2024-02-23,rep_25,FinTech,North America,Enterprise,Partner,Proposal,98527,15,Lost,0,2024,2,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Fast (<20d),0.45365853658536587,Q3,0.7138952814674023,71.4,Critical Risk,"Large deal: $98,527 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D02307,2024-02-08,2024-05-14,rep_14,SaaS,North America,Enterprise,Partner,Negotiation,20449,96,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Mid (10-30K),Stalled (80d+),0.4396135265700483,Q4 (Bottom),0.7115986114909902,71.2,Critical Risk,Long cycle: 96d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D01835,2024-03-11,2024-04-11,rep_10,EdTech,APAC,Pro,Inbound,Demo,2012,31,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Normal (20-45d),0.42408376963350786,Q4 (Bottom),0.7099503040720626,71.0,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D01994,2024-03-03,2024-03-29,rep_9,Ecommerce,India,Core,Outbound,Negotiation,98082,26,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Normal (20-45d),0.44623655913978494,Q3,0.7081133778075368,70.8,Critical Risk,"Large deal: $98,082 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D01355,2024-03-05,2024-05-31,rep_2,EdTech,India,Core,Outbound,Negotiation,3846,87,Won,1,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.46153846153846156,Q2,0.7078324900195831,70.8,Critical Risk,Long cycle: 87d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D00139,2024-03-01,2024-05-02,rep_2,Ecommerce,APAC,Core,Referral,Negotiation,3818,62,Won,1,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Slow (45-80d),0.46153846153846156,Q2,0.7072823276034866,70.7,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D00406,2024-03-25,2024-07-10,rep_20,SaaS,North America,Enterprise,Referral,Demo,83208,107,Lost,0,2024,3,2024Q1,2024Q3,2024Q1,Enterprise (60K+),Stalled (80d+),0.46956521739130436,Q2,0.705825170606317,70.6,Critical Risk,"Long cycle: 107d | Large deal: $83,208 | Lead Source: Referral",Escalate to senior rep + schedule executive sponsor call
D00886,2024-01-26,2024-05-18,rep_5,SaaS,North America,Core,Inbound,Proposal,2358,113,Lost,0,2024,1,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4577114427860697,Q2,0.7050050425716126,70.5,Critical Risk,Long cycle: 113d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D04393,2024-02-14,2024-04-05,rep_17,Ecommerce,APAC,Core,Referral,Closed,11555,51,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Mid (10-30K),Slow (45-80d),0.44571428571428573,Q3,0.7049888234642014,70.5,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D00476,2024-02-01,2024-05-07,rep_13,SaaS,Europe,Enterprise,Outbound,Negotiation,3104,96,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.441025641025641,Q4 (Bottom),0.7039046910625802,70.4,Critical Risk,Long cycle: 96d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D03535,2024-01-15,2024-05-10,rep_18,SaaS,India,Pro,Partner,Demo,5934,116,Won,1,2024,1,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.40860215053763443,Q4 (Bottom),0.7038863357146871,70.4,Critical Risk,Long cycle: 116d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D03558,2024-03-25,2024-04-01,rep_11,FinTech,Europe,Core,Inbound,Closed,4852,7,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Fast (<20d),0.465,Q2,0.699593187457572,70.0,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D03271,2024-02-29,2024-06-07,rep_16,SaaS,India,Pro,Inbound,Qualified,92813,99,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.47085201793721976,Q1 (Top),0.6996852825807285,70.0,Critical Risk,"Long cycle: 99d | Large deal: $92,813 | Lead Source: Inbound",Escalate to senior rep + schedule executive sponsor call
D01763,2024-02-21,2024-04-04,rep_8,HealthTech,India,Core,Partner,Demo,91363,43,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Normal (20-45d),0.48128342245989303,Q1 (Top),0.6948047845113579,69.5,Critical Risk,"Large deal: $91,363 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D01081,2024-02-25,2024-06-22,rep_9,SaaS,Europe,Core,Outbound,Negotiation,68139,118,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.44623655913978494,Q3,0.693909909899846,69.4,Critical Risk,"Long cycle: 118d | Large deal: $68,139 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D00109,2024-03-12,2024-06-10,rep_8,Ecommerce,APAC,Pro,Referral,Negotiation,19810,90,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Mid (10-30K),Stalled (80d+),0.48128342245989303,Q1 (Top),0.6929019680613262,69.3,Critical Risk,Long cycle: 90d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02258,2024-02-14,2024-02-22,rep_2,SaaS,India,Enterprise,Partner,Qualified,9271,8,Lost,0,2024,2,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.46153846153846156,Q2,0.6932342923723248,69.3,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02975,2024-02-29,2024-03-08,rep_2,HealthTech,India,Enterprise,Inbound,Negotiation,5869,8,Won,1,2024,2,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.46153846153846156,Q2,0.6896158485460813,69.0,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D01688,2024-02-05,2024-04-30,rep_12,Ecommerce,North America,Enterprise,Referral,Demo,14078,85,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Mid (10-30K),Stalled (80d+),0.48333333333333334,Q1 (Top),0.686905293128916,68.7,Critical Risk,Long cycle: 85d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D03033,2024-03-09,2024-03-18,rep_18,FinTech,APAC,Pro,Inbound,Negotiation,34121,9,Lost,0,2024,3,2024Q1,2024Q1,2024Q1,Large (30-60K),Fast (<20d),0.40860215053763443,Q4 (Bottom),0.6867546355284988,68.7,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D01956,2024-01-16,2024-04-23,rep_1,FinTech,North America,Core,Partner,Closed,5714,98,Lost,0,2024,1,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4549763033175355,Q2,0.6870066478071157,68.7,Critical Risk,Long cycle: 98d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D03879,2024-03-18,2024-06-13,rep_21,Ecommerce,North America,Enterprise,Inbound,Negotiation,2272,87,Won,1,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.5096153846153846,Q1 (Top),0.6838366974388334,68.4,Critical Risk,Long cycle: 87d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D02461,2024-03-06,2024-03-14,rep_8,Ecommerce,North America,Pro,Partner,Negotiation,31266,8,Won,1,2024,3,2024Q1,2024Q1,2024Q1,Large (30-60K),Fast (<20d),0.48128342245989303,Q1 (Top),0.6807283897222989,68.1,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02540,2024-01-09,2024-02-24,rep_17,Ecommerce,North America,Pro,Referral,Negotiation,86941,46,Lost,0,2024,1,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Slow (45-80d),0.44571428571428573,Q3,0.6774934439456738,67.7,Critical Risk,"Large deal: $86,941 | Lead Source: Referral",Escalate to senior rep + schedule executive sponsor call
D01923,2024-02-11,2024-03-16,rep_16,Ecommerce,APAC,Enterprise,Inbound,Negotiation,6713,34,Lost,0,2024,2,2024Q1,2024Q1,2024Q1,Small (<10K),Normal (20-45d),0.47085201793721976,Q1 (Top),0.6762582952282662,67.6,Critical Risk,Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D01110,2024-03-01,2024-05-06,rep_13,EdTech,APAC,Enterprise,Referral,Demo,14350,66,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Mid (10-30K),Slow (45-80d),0.441025641025641,Q4 (Bottom),0.6760926519046992,67.6,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D04012,2024-02-21,2024-05-01,rep_12,FinTech,North America,Pro,Partner,Demo,20121,70,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Mid (10-30K),Slow (45-80d),0.48333333333333334,Q1 (Top),0.6760399668472853,67.6,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02151,2024-02-17,2024-05-28,rep_20,EdTech,APAC,Core,Outbound,Qualified,2236,101,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.46956521739130436,Q2,0.6723186938436483,67.2,Critical Risk,Long cycle: 101d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D03185,2024-02-29,2024-06-10,rep_6,SaaS,Europe,Core,Referral,Closed,9823,102,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.42786069651741293,Q4 (Bottom),0.6708501922139523,67.1,Critical Risk,Long cycle: 102d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D01158,2024-02-03,2024-05-02,rep_25,Ecommerce,APAC,Pro,Outbound,Proposal,7201,89,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.45365853658536587,Q3,0.6702416667607846,67.0,Critical Risk,Long cycle: 89d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D03555,2024-02-04,2024-05-27,rep_18,HealthTech,India,Pro,Partner,Negotiation,93947,113,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.40860215053763443,Q4 (Bottom),0.6697813989122339,67.0,Critical Risk,"Long cycle: 113d | Large deal: $93,947 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D00345,2024-02-03,2024-03-14,rep_2,SaaS,India,Core,Referral,Demo,13864,40,Lost,0,2024,2,2024Q1,2024Q1,2024Q1,Mid (10-30K),Normal (20-45d),0.46153846153846156,Q2,0.6703126668618801,67.0,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D01870,2024-03-05,2024-05-09,rep_18,SaaS,North America,Pro,Partner,Closed,13625,65,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Mid (10-30K),Slow (45-80d),0.40860215053763443,Q4 (Bottom),0.6690026383082059,66.9,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D04815,2024-03-08,2024-06-04,rep_14,EdTech,APAC,Enterprise,Partner,Proposal,13337,88,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Mid (10-30K),Stalled (80d+),0.4396135265700483,Q4 (Bottom),0.6676407238472256,66.8,Critical Risk,Long cycle: 88d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D00299,2024-02-10,2024-05-08,rep_23,SaaS,APAC,Core,Outbound,Closed,42833,88,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Large (30-60K),Stalled (80d+),0.44565217391304346,Q3,0.6679920676939619,66.8,Critical Risk,Long cycle: 88d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D03100,2024-02-20,2024-06-05,rep_3,EdTech,North America,Enterprise,Referral,Proposal,3813,106,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4722222222222222,Q1 (Top),0.6646411832799848,66.5,Critical Risk,Long cycle: 106d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02038,2024-02-12,2024-05-20,rep_18,SaaS,APAC,Enterprise,Outbound,Closed,73060,98,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.40860215053763443,Q4 (Bottom),0.6641192986158874,66.4,Critical Risk,"Long cycle: 98d | Large deal: $73,060 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D02717,2024-03-10,2024-03-23,rep_17,SaaS,North America,Enterprise,Outbound,Closed,83647,13,Lost,0,2024,3,2024Q1,2024Q1,2024Q1,Enterprise (60K+),Fast (<20d),0.44571428571428573,Q3,0.6637367365111168,66.4,Critical Risk,"Large deal: $83,647 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
D01188,2024-01-15,2024-05-04,rep_16,HealthTech,APAC,Pro,Partner,Qualified,3487,110,Lost,0,2024,1,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.47085201793721976,Q1 (Top),0.6628757268047206,66.3,Critical Risk,Long cycle: 110d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02606,2024-02-24,2024-05-25,rep_12,Ecommerce,APAC,Pro,Partner,Proposal,6395,91,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.48333333333333334,Q1 (Top),0.6617064387150084,66.2,Critical Risk,Long cycle: 91d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02694,2024-02-05,2024-04-28,rep_4,EdTech,Europe,Pro,Outbound,Qualified,55183,83,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Large (30-60K),Stalled (80d+),0.458128078817734,Q2,0.6624329941519378,66.2,Critical Risk,Long cycle: 83d | Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D02308,2024-02-16,2024-05-30,rep_14,HealthTech,Europe,Enterprise,Inbound,Negotiation,3110,104,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.4396135265700483,Q4 (Bottom),0.661496360360484,66.1,Critical Risk,Long cycle: 104d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D02541,2024-01-11,2024-04-01,rep_23,SaaS,North America,Enterprise,Partner,Demo,70252,81,Won,1,2024,1,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.44565217391304346,Q3,0.6600280339107533,66.0,Critical Risk,"Long cycle: 81d | Large deal: $70,252 | Lead Source: Partner",Escalate to senior rep + schedule executive sponsor call
D01628,2024-02-29,2024-06-22,rep_20,Ecommerce,North America,Enterprise,Inbound,Proposal,3547,114,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.46956521739130436,Q2,0.6578045678418392,65.8,Critical Risk,Long cycle: 114d | Lead Source: Inbound,Escalate to senior rep + schedule executive sponsor call
D03031,2024-03-18,2024-06-18,rep_2,HealthTech,APAC,Pro,Referral,Demo,3884,92,Lost,0,2024,3,2024Q1,2024Q2,2024Q1,Small (<10K),Stalled (80d+),0.46153846153846156,Q2,0.6577970878288492,65.8,Critical Risk,Long cycle: 92d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02056,2024-03-21,2024-05-11,rep_6,EdTech,India,Core,Referral,Negotiation,16737,51,Won,1,2024,3,2024Q1,2024Q2,2024Q1,Mid (10-30K),Slow (45-80d),0.42786069651741293,Q4 (Bottom),0.6575259447169466,65.8,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02396,2024-02-09,2024-02-18,rep_7,HealthTech,India,Core,Referral,Proposal,8394,9,Won,1,2024,2,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.4166666666666667,Q4 (Bottom),0.657347227808034,65.7,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D00596,2024-02-09,2024-03-20,rep_10,Ecommerce,Europe,Enterprise,Outbound,Proposal,5046,40,Won,1,2024,2,2024Q1,2024Q1,2024Q1,Small (<10K),Normal (20-45d),0.42408376963350786,Q4 (Bottom),0.6567328357858536,65.7,Critical Risk,Lead Source: Outbound,Escalate to senior rep + schedule executive sponsor call
D02868,2024-01-19,2024-03-05,rep_25,EdTech,Europe,Core,Partner,Closed,13677,46,Won,1,2024,1,2024Q1,2024Q1,2024Q1,Mid (10-30K),Slow (45-80d),0.45365853658536587,Q3,0.6568712852074436,65.7,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02595,2024-02-16,2024-04-27,rep_24,HealthTech,Europe,Core,Referral,Proposal,10796,71,Won,1,2024,2,2024Q1,2024Q2,2024Q1,Mid (10-30K),Slow (45-80d),0.4482758620689655,Q3,0.6563344953049766,65.6,Critical Risk,Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D04780,2024-01-25,2024-05-17,rep_7,SaaS,North America,Enterprise,Partner,Proposal,16630,113,Lost,0,2024,1,2024Q1,2024Q2,2024Q1,Mid (10-30K),Stalled (80d+),0.4166666666666667,Q4 (Bottom),0.6557195060017579,65.6,Critical Risk,Long cycle: 113d | Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D01430,2024-01-07,2024-01-16,rep_11,HealthTech,Europe,Pro,Partner,Demo,7081,9,Lost,0,2024,1,2024Q1,2024Q1,2024Q1,Small (<10K),Fast (<20d),0.465,Q2,0.6554602894078461,65.5,Critical Risk,Lead Source: Partner,Escalate to senior rep + schedule executive sponsor call
D02146,2024-02-26,2024-05-22,rep_16,Ecommerce,India,Core,Referral,Negotiation,11995,86,Lost,0,2024,2,2024Q1,2024Q2,2024Q1,Mid (10-30K),Stalled (80d+),0.47085201793721976,Q1 (Top),0.6552261962610012,65.5,Critical Risk,Long cycle: 86d | Lead Source: Referral,Escalate to senior rep + schedule executive sponsor call
D02209,2024-03-05,2024-05-28,rep_9,FinTech,India,Core,Outbound,Closed,71961,84,Won,1,2024,3,2024Q1,2024Q2,2024Q1,Enterprise (60K+),Stalled (80d+),0.44623655913978494,Q3,0.6546444879029168,65.5,Critical Risk,"Long cycle: 84d | Large deal: $71,961 | Lead Source: Outbound",Escalate to senior rep + schedule executive sponsor call
